2026-06-27, 20:48:22.946233, 5150000000, 5155000000, 1000000.00, 20, -56.49, -72.37, -61.08, -53.49, -53.77
2026-06-27, 20:48:22.946233, 5160000000, 5165000000, 1000000.00, 20, -77.45, -64.24, -66.49, -61.94, -55.29
2026-06-27, 20:48:22.946233, 5155000000, 5160000000, 1000000.00, 20, -72.34, -65.82, -59.82, -62.34, -57.71
2026-06-27, 20:48:22.946233, 5165000000, 5170000000, 1000000.00, 20, -62.05, -67.27, -59.72, -56.22, -60.44
2026-06-27, 20:48:22.946233, 5170000000, 5175000000, 1000000.00, 20, -57.98, -58.79, -61.71, -61.82, -62.50
2026-06-27, 20:48:22.946233, 5180000000, 5185000000, 1000000.00, 20, -51.53, -58.46, -55.91, -54.37, -52.58
2026-06-27, 20:48:22.946233, 5175000000, 5180000000, 1000000.00, 20, -63.67, -66.52, -57.65, -56.36, -61.35
2026-06-27, 20:48:22.946233, 5185000000, 5190000000, 1000000.00, 20, -46.35, -45.05, -59.54, -54.19, -55.49
2026-06-27, 20:48:22.946233, 5190000000, 5195000000, 1000000.00, 20, -62.18, -59.56, -61.20, -67.99, -62.52
2026-06-27, 20:48:22.946233, 5200000000, 5205000000, 1000000.00, 20, -57.68, -60.22, -60.51, -60.22, -71.85
2026-06-27, 20:48:22.946233, 5195000000, 5200000000, 1000000.00, 20, -68.79, -77.02, -59.23, -55.84, -63.56
2026-06-27, 20:48:22.946233, 5205000000, 5210000000, 1000000.00, 20, -62.82, -70.51, -57.28, -58.26, -56.76
2026-06-27, 20:48:22.946233, 5210000000, 5215000000, 1000000.00, 20, -61.87, -72.96, -63.19, -57.91, -59.78
2026-06-27, 20:48:22.946233, 5220000000, 5225000000, 1000000.00, 20, -61.20, -66.47, -59.84, -53.52, -57.16
2026-06-27, 20:48:22.946233, 5215000000, 5220000000, 1000000.00, 20, -55.59, -53.37, -52.35, -54.78, -55.23
2026-06-27, 20:48:22.946233, 5225000000, 5230000000, 1000000.00, 20, -67.16, -65.03, -65.75, -67.46, -75.55
2026-06-27, 20:48:22.946233, 5230000000, 5235000000, 1000000.00, 20, -61.54, -58.92, -61.76, -64.04, -62.57
2026-06-27, 20:48:22.946233, 5240000000, 5245000000, 1000000.00, 20, -56.63, -52.51, -50.56, -51.54, -62.31
